Actor,Partner,Count
50 Cent,Adewale Akinnuoye-Agbaje,1
50 Cent,Al Pacino,1
50 Cent,Carla Gugino,1
50 Cent,Joy Bryant,1
50 Cent,Omar Benson Miller,1
50 Cent,Robert De Niro,1
A. Russell Andrews,James Carpinello,1
A. Russell Andrews,Mark Collie,1
A. Russell Andrews,Omar Avila,1
A.D. Miles,David Connolly,1
A.D. Miles,Joseph Siravo,1
A.D. Miles,Matthew McConaughey,1
A.J. Buckley,Dante Basco,1
A.J. Buckley,Derek Hamilton,1
A.J. Buckley,Ryan Browning,1
A.J. Cook,Ali Larter,1
A.J. Cook,Caroline Dhavernas,1
A.J. Cook,David Denman,1
A.J. Cook,David Paetkau,1
A.J. Cook,Flex Alexander,1
A.J. Cook,Michael Landes,1
Aaliyah,Marguerite Moreau,1
Aaliyah,Stuart Townsend,1
Aaliyah,Vincent Perez,1
Aaron Aoki,Bridget McGrath,1
Aaron Aoki,Charles Hubbell,1
Aaron Aoki,Joseph Andrew Schneider,1
Aaron B. Oduber,Dennis Quaid,1
Aaron B. Oduber,Jacob R. Oduber,1
Aaron B. Oduber,Kim Dickens,1
Aaron Eckhart,Abigail Breslin,1
Aaron Eckhart,Amber Heard,1
Aaron Eckhart,Ben Affleck,1
Aaron Eckhart,Ben Kingsley,1
Aaron Eckhart,Carrie-Anne Moss,1
Aaron Eckhart,Catherine Zeta-Jones,1
Aaron Eckhart,Christian Bale,1
Aaron Eckhart,Cory Hardrict,1
Aaron Eckhart,Dan Fogler,1
Aaron Eckhart,Dianne Wiest,1
Aaron Eckhart,Dylan McDermott,1
Aaron Eckhart,Eric Haberman,1
Aaron Eckhart,Finley Jacobsen,1
Aaron Eckhart,Gerard Butler,1
Aaron Eckhart,Gwyneth Paltrow,1
Aaron Eckhart,Harry Lennix,1
Aaron Eckhart,Heath Ledger,1
Aaron Eckhart,Hilary Swank,1
Aaron Eckhart,Jennifer Aniston,1
Aaron Eckhart,Jennifer Ehle,1
Aaron Eckhart,Jeremy Northam,1
Aaron Eckhart,Joan Lunden,1
Aaron Eckhart,John Carroll Lynch,1
Aaron Eckhart,Johnny Depp,1
Aaron Eckhart,Josh Hartnett,1
Aaron Eckhart,Mary Jo Smith,1
Aaron Eckhart,Michael Caine,1
Aaron Eckhart,Michael Rispoli,1
Aaron Eckhart,Miles Teller,1
Aaron Eckhart,Nicole Kidman,1
Aaron Eckhart,Patricia Clarkson,1
Aaron Eckhart,Paul Giamatti,1
Aaron Eckhart,Ramon Rodriguez,1
Aaron Eckhart,Scarlett Johansson,1
Aaron Eckhart,Uma Thurman,1
Aaron Eckhart,Will Rothhaar,1
Aaron Murphy,Anthony Hopkins,1
Aaron Murphy,Iain Rea,1
Aaron Murphy,Tessa Mitchell,1
Aaron Paul,Alice Eve,1
Aaron Paul,Christian Bale,1
Aaron Paul,Deke Garner,1
Aaron Paul,Dominic Cooper,1
Aaron Paul,Imogen Poots,1
Aaron Paul,Joel Edgerton,1
Aaron Paul,John Turturro,1
Aaron Paul,Josh Wiggins,1
Aaron Paul,Juliette Lewis,1
Aaron Paul,Maggie Grace,1
Aaron Paul,Mary Elizabeth Winstead,1
Aaron Paul,Megan Mullally,1
Aaron Paul,Nick Offerman,1
Aaron Paul,Rashida Jones,1
Aaron Paul,Scott Mescudi,1
Aaron Ruell,Efren Ramirez,1
Aaron Ruell,Jon Gries,1
Aaron Ruell,Jon Heder,1
Aaron Stanford,Allison Janney,1
Aaron Stanford,Anthony LaPaglia,1
Aaron Stanford,Emilie de Ravin,1
Aaron Stanford,Kate Mara,1
Aaron Stanford,Kathleen Quinlan,1
Aaron Stanford,Mark Webber,1
Aaron Stanford,Peter Appel,1
Aaron Stanford,Robert Iler,1
Aaron Stanford,Vinessa Shaw,1
Aaron Taylor-Johnson,Blake Lively,1
Aaron Taylor-Johnson,Bryan Cranston,1
Aaron Taylor-Johnson,Chlo? Grace Moretz,1
Aaron Taylor-Johnson,CJ Adams,1
Aaron Taylor-Johnson,Claudia Lee,1
Aaron Taylor-Johnson,Deborah Twiss,1
Aaron Taylor-Johnson,Evan Peters,1
Aaron Taylor-Johnson,Garrett M. Brown,1
Aaron Taylor-Johnson,Jackie Chan,1
Aaron Taylor-Johnson,Jana Banker,1
Aaron Taylor-Johnson,Ken Watanabe,1
Aaron Taylor-Johnson,Morris Chestnut,1
Aaron Taylor-Johnson,Owen Wilson,1
Aaron Taylor-Johnson,Taylor Kitsch,1
Aaron Taylor-Johnson,Tom Fisher,1
Aaron Tveit,James Franco,1
Aaron Tveit,Jon Prescott,1
Aaron Tveit,Todd Rotondi,1
Aaron Yoo,Jim Sturgess,1
Aaron Yoo,Kat Dennings,1
Aaron Yoo,Kate Bosworth,1
Aaron Yoo,Kevin Spacey,1
Aaron Yoo,Michael Cera,1
Aaron Yoo,Rafi Gavron,1
Aarti Mann,Dean Winters,1
Aarti Mann,Jess Weixler,1
Aarti Mann,Kevin Corrigan,1
Aasha Davis,Adepero Oduye,1
Aasha Davis,Charles Parnell,1
Aasha Davis,Pernell Walker,1
Aasif Mandvi,Ayesha Dharker,1
Aasif Mandvi,Jimi Mistry,1
Aasif Mandvi,Om Puri,1
Aasif Mandvi,Owen Wilson,1
Aasif Mandvi,Rose Byrne,1
Aasif Mandvi,Vince Vaughn,1
Abbie Cornish,Adrienne DeFaria,1
Abbie Cornish,Andrew Howard,1
Abbie Cornish,Annalee Jefferies,1
Abbie Cornish,Austin West,1
Abbie Cornish,Bradley Cooper,1
Abbie Cornish,Emily Barclay,1
Abbie Cornish,Emily Browning,1
Abbie Cornish,Essie Davis,1
Abbie Cornish,Gary Oldman,1
Abbie Cornish,Geoffrey Rivas,1
Abbie Cornish,Jena Malone,1
Abbie Cornish,Joel Kinnaman,1
Abbie Cornish,Michael Keaton,1
Abbie Cornish,Robert De Niro,1
Abbie Cornish,Vanessa Hudgens,1
Abigail Breslin,Aaron Eckhart,1
Abigail Breslin,Alan Arkin,1
Abigail Breslin,Arnold Schwarzenegger,1
Abigail Breslin,Cameron Diaz,1
Abigail Breslin,Catherine Zeta-Jones,1
Abigail Breslin,Chris O'Donnell,1
Abigail Breslin,Douglas M. Griffin,1
Abigail Breslin,Emma Stone,1
Abigail Breslin,Gerard Butler,1
Abigail Breslin,Greg Kinnear,1
Abigail Breslin,Halle Berry,1
Abigail Breslin,Isla Fisher,1
Abigail Breslin,Jane Krakowski,1
Abigail Breslin,Jesse Eisenberg,1
Abigail Breslin,Joaquin Phoenix,1
Abigail Breslin,Jodie Foster,1
Abigail Breslin,Joely Richardson,1
Abigail Breslin,Johnny Depp,1
Abigail Breslin,Julia Ormond,1
Abigail Breslin,Mel Gibson,1
Abigail Breslin,Michael Carman,1
Abigail Breslin,Michael Eklund,1
Abigail Breslin,Morris Chestnut,1
Abigail Breslin,Ned Beatty,1
Abigail Breslin,Patricia Clarkson,1
Abigail Breslin,Paul Dano,1
Abigail Breslin,Rory Culkin,1
Abigail Breslin,Sofia Vassilieva,1
Abigail Breslin,Walter Raney,1
Abigail Breslin,Woody Harrelson,1
Abigail Spencer,Buck Taylor,1
Abigail Spencer,Daniel Craig,1
Abigail Spencer,Elisabeth Shue,1
Abigail Spencer,Gerard Butler,1
Abigail Spencer,Jonny Weston,1
Abigail Spencer,Matthew Taylor,1
Abner Exp?sito,April Yvette Thompson,1
Abner Exp?sito,Isaiah Washington,1
Abner Exp?sito,Tequan Richmond,1
Abraham Paskowitz,David Paskowitz,1
Abraham Paskowitz,Jonathan Paskowitz,1
Abraham Paskowitz,Juliette Paskowitz,1
Adam Appelhanz,David Beckmann,1
Adam Appelhanz,Joel Berg,1
Adam Appelhanz,William Booker,1
Adam Baldwin,Angeline-Rose Troy,1
Adam Baldwin,Beau Billingslea,1
Adam Baldwin,Jim Byrnes,1
Adam Baldwin,Kim Buckingham,1
Adam Baldwin,Natalie Zea,1
Adam Baldwin,Sean Patrick Flanery,1
Adam Barrie,Megan Wolfley,1
Adam Barrie,Robert Belushi,1
Adam Barrie,Teri Andrez,1
Adam Beach,Brittany Daniel,1
Adam Beach,David Spade,1
Adam Beach,Dennis Miller,1
Adam Beach,Jesse Bradford,1
Adam Beach,John Benjamin Hickey,1
Adam Beach,Nicolas Cage,1
Adam Beach,Noah Emmerich,1
Adam Beach,Peter Stormare,1
Adam Beach,Ryan Phillippe,1
Adam Boyer,Brandon Bernard Benton,1
Adam Boyer,Greg Andrews,1
Adam Boyer,Monica Arnold,1
Adam Brody,Amanda Seyfried,1
Adam Brody,Angelina Jolie,1
Adam Brody,Brad Pitt,1
Adam Brody,Danielle Savre,1
Adam Brody,Elena Anaya,1
Adam Brody,Jerry Ferrara,1
Adam Brody,Joey Kern,1
Adam Brody,Johnny Simmons,1
Adam Brody,Jon Hamm,1
Adam Brody,Kelsey Keel,1
Adam Brody,Meagan Good,1
Adam Brody,Megan Fox,1
Adam Brody,Michael Ealy,1
Adam Brody,Mike Vogel,1
Adam Brody,Paul Rudd,1
Adam Brody,Vince Vaughn,1
Adam Brody,Vince Vieluf,1
Adam Brody,Winona Ryder,1
Adam Brooks,Larry David,1
Adam Brooks,Lyle Kanouse,1
Adam Brooks,Michael McKean,1
Adam C. Edwards,Carter Cabassa,1
Adam C. Edwards,Denzel Washington,1
Adam C. Edwards,Nadine Velazquez,1
Adam Campbell,Alyson Hannigan,1
Adam Campbell,Eddie Griffin,1
Adam Campbell,Jayma Mays,1
Adam Campbell,Jennifer Coolidge,1
Adam Campbell,Kal Penn,1
Adam Campbell,Sophie Monk,1
Adam Carolla,Christopher Darga,1
Adam Carolla,Harold House Moore,1
Adam Carolla,Jason Bateman,1
Adam Carolla,Judd Apatow,1
Adam Carolla,Oswaldo Castillo,1
Adam Carolla,Will Arnett,1
Adam Clayton,Bono,1
