Country,Longitude,Latitude,Group,Order,Count
Afghanistan,74.89131165,37.23163986,2,12,1
Afghanistan,74.84023285,37.22505188,2,13,1
Afghanistan,74.76737976,37.24917221,2,14,1
Afghanistan,74.73896027,37.28564453,2,15,1
Afghanistan,74.72666168,37.29072189,2,16,1
Afghanistan,74.66894531,37.26670074,2,17,1
Afghanistan,74.55899048,37.23662186,2,18,1
Afghanistan,74.37216949,37.15771484,2,19,1
Afghanistan,74.3761673,37.13735199,2,20,1
Afghanistan,74.49795532,37.05722427,2,21,1
Afghanistan,74.52645874,37.03066254,2,22,1
Afghanistan,74.54140472,37.02217102,2,23,1
Afghanistan,74.43106079,36.98369217,2,24,1
Afghanistan,74.19472504,36.89687729,2,25,1
Afghanistan,74.03887177,36.82573318,2,26,1
Afghanistan,74.00185394,36.82309723,2,27,1
Afghanistan,73.90781403,36.85293198,2,28,1
Afghanistan,73.76914215,36.88847733,2,29,1
Afghanistan,73.73183441,36.88779068,2,30,1
Afghanistan,73.41113281,36.88169098,2,31,1
Afghanistan,73.1167984,36.86855698,2,32,1
Afghanistan,72.9937439,36.85161209,2,33,1
Afghanistan,72.76621246,36.83501053,2,34,1
Afghanistan,72.62285614,36.82958984,2,35,1
Afghanistan,72.53134918,36.80200195,2,36,1
Afghanistan,72.43115234,36.76581955,2,37,1
Afghanistan,72.3269577,36.74238586,2,38,1
Afghanistan,72.24980164,36.73471832,2,39,1
Afghanistan,72.15673828,36.70088196,2,40,1
Afghanistan,72.09560394,36.63373947,2,41,1
Afghanistan,71.92070007,36.53417969,2,42,1
Afghanistan,71.82226563,36.48608398,2,43,1
Afghanistan,71.7726593,36.43183517,2,44,1
Afghanistan,71.71640778,36.42656326,2,45,1
Afghanistan,71.62050629,36.43647385,2,46,1
Afghanistan,71.54589844,36.37768555,2,47,1
Afghanistan,71.46327972,36.29326248,2,48,1
Afghanistan,71.31259918,36.17118835,2,49,1
Afghanistan,71.23291016,36.12177658,2,50,1
Afghanistan,71.18505859,36.04208755,2,51,1
Afghanistan,71.22021484,36.00068283,2,52,1
Afghanistan,71.34287262,35.93852615,2,53,1
Afghanistan,71.39756012,35.88017654,2,54,1
Afghanistan,71.42753601,35.83374023,2,55,1
Afghanistan,71.48358917,35.71459961,2,56,1
Afghanistan,71.51904297,35.59750748,2,57,1
Afghanistan,71.57197571,35.54682541,2,58,1
Afghanistan,71.58740234,35.46083832,2,59,1
Afghanistan,71.60058594,35.40790939,2,60,1
Afghanistan,71.57197571,35.37041092,2,61,1
Afghanistan,71.54550934,35.3285141,2,62,1
Afghanistan,71.54550934,35.28886414,2,63,1
Afghanistan,71.57724762,35.24799728,2,64,1
Afghanistan,71.60527039,35.21176529,2,65,1
Afghanistan,71.62050629,35.18300629,2,66,1
Afghanistan,71.60166168,35.15068436,2,67,1
Afghanistan,71.54550934,35.10141373,2,68,1
Afghanistan,71.51708984,35.05112457,2,69,1
Afghanistan,71.45507813,34.96694183,2,70,1
Afghanistan,71.35810852,34.90961838,2,71,1
Afghanistan,71.29414368,34.86772537,2,72,1
Afghanistan,71.22577667,34.77954102,2,73,1
Afghanistan,71.11328125,34.68159485,2,74,1
Afghanistan,71.06562805,34.59960938,2,75,1
Afghanistan,71.01631165,34.55463791,2,76,1
Afghanistan,70.96562195,34.5303688,2,77,1
Afghanistan,70.97891235,34.48628235,2,78,1
Afghanistan,71.02294922,34.43115234,2,79,1
Afghanistan,71.09570313,34.36943436,2,80,1
Afghanistan,71.09238434,34.27324295,2,81,1
Afghanistan,71.08905792,34.20405579,2,82,1
Afghanistan,71.09130859,34.12026596,2,83,1
Afghanistan,71.05155945,34.04970932,2,84,1
Afghanistan,70.84844208,33.981884,2,85,1
Afghanistan,70.65400696,33.9522934,2,86,1
Afghanistan,70.41572571,33.95043945,2,87,1
Afghanistan,70.32568359,33.96113205,2,88,1
Afghanistan,70.2536087,33.97597504,2,89,1
Afghanistan,69.99472809,34.0518074,2,90,1
Afghanistan,69.88964844,34.00727463,2,91,1
Afghanistan,69.86806488,33.89765549,2,92,1
Afghanistan,70.05664063,33.71987152,2,93,1
Afghanistan,70.13417816,33.62075424,2,94,1
Afghanistan,70.21972656,33.45468521,2,95,1
Afghanistan,70.28417969,33.36904144,2,96,1
Afghanistan,70.26113129,33.28901291,2,97,1
Afghanistan,70.09023285,33.19809723,2,98,1
Afghanistan,69.92012024,33.11249924,2,99,1
Afghanistan,69.70371246,33.09472656,2,100,1
Afghanistan,69.56777191,33.06415939,2,101,1
Afghanistan,69.5015564,33.02006912,2,102,1
Afghanistan,69.453125,32.83281326,2,103,1
Afghanistan,69.40459442,32.76425552,2,104,1
Afghanistan,69.40537262,32.68271637,2,105,1
Afghanistan,69.35947418,32.59033203,2,106,1
Afghanistan,69.28993988,32.53056717,2,107,1
Afghanistan,69.24140167,32.43354416,2,108,1
Afghanistan,69.25653839,32.24946213,2,109,1
Afghanistan,69.27929688,31.93681717,2,110,1
Afghanistan,69.18691254,31.83808708,2,111,1
Afghanistan,69.08310699,31.7384758,2,112,1
Afghanistan,68.97343445,31.66738319,2,113,1
Afghanistan,68.86894989,31.63422966,2,114,1
Afghanistan,68.78232574,31.64643478,2,115,1
Afghanistan,68.71366882,31.7080574,2,116,1
Afghanistan,68.67324066,31.75971794,2,117,1
Afghanistan,68.59765625,31.80298042,2,118,1
Afghanistan,68.52070618,31.79414177,2,119,1
Afghanistan,68.44326019,31.75449181,2,120,1
Afghanistan,68.31982422,31.76767349,2,121,1
Afghanistan,68.21396637,31.80737495,2,122,1
Afghanistan,68.16103363,31.80298042,2,123,1
Afghanistan,68.13017273,31.76328278,2,124,1
Afghanistan,68.01718903,31.67798042,2,125,1
Afghanistan,67.73984528,31.54819298,2,126,1
Afghanistan,67.62675476,31.53877068,2,127,1
Afghanistan,67.57821655,31.50649452,2,128,1
Afghanistan,67.59755707,31.45332146,2,129,1
Afghanistan,67.64706421,31.40995979,2,130,1
Afghanistan,67.73349762,31.37924767,2,131,1
Afghanistan,67.73789215,31.34394646,2,132,1
Afghanistan,67.66152191,31.31298828,2,133,1
Afghanistan,67.59638977,31.27768707,2,134,1
Afghanistan,67.45282745,31.23461914,2,135,1
Afghanistan,67.28730011,31.21782303,2,136,1
Afghanistan,67.11592102,31.24292183,2,137,1
Afghanistan,67.02773285,31.30024338,2,138,1
Afghanistan,66.92431641,31.30561447,2,139,1
Afghanistan,66.8292923,31.26367188,2,140,1
Afghanistan,66.73134613,31.19453239,2,141,1
Afghanistan,66.6242218,31.0460434,2,142,1
Afghanistan,66.59580231,31.01996994,2,143,1
Afghanistan,66.56679535,30.99658394,2,144,1
Afghanistan,66.49736023,30.96455002,2,145,1
Afghanistan,66.39717102,30.91220665,2,146,1
Afghanistan,66.34687042,30.80278397,2,147,1
Afghanistan,66.28691101,30.60791206,2,148,1
Afghanistan,66.30097198,30.50297928,2,149,1
Afghanistan,66.3054657,30.3211422,2,150,1
Afghanistan,66.28183746,30.19345665,2,151,1
Afghanistan,66.23847961,30.10961914,2,152,1
Afghanistan,66.24716949,30.04350662,2,153,1
Afghanistan,66.31337738,29.96855545,2,154,1
Afghanistan,66.28691101,29.92001915,2,155,1
Afghanistan,66.23125458,29.86572266,2,156,1
Afghanistan,66.17705536,29.83559418,2,157,1
Afghanistan,65.96162415,29.77890778,2,158,1
Afghanistan,65.66621399,29.70132065,2,159,1
Afghanistan,65.47099304,29.65156174,2,160,1
Afghanistan,65.1804657,29.57763481,2,161,1
Afghanistan,65.09550476,29.55947495,2,162,1
Afghanistan,64.91894531,29.55278397,2,163,1
Afghanistan,64.82733917,29.56415939,2,164,1
Afghanistan,64.7035141,29.56713676,2,165,1
Afghanistan,64.52109528,29.56450081,2,166,1
Afghanistan,64.39375305,29.54433441,2,167,1
Afghanistan,64.26611328,29.50693321,2,168,1
Afghanistan,64.17216492,29.46035194,2,169,1
Afghanistan,64.11797333,29.41425705,2,170,1
Afghanistan,64.09873199,29.39194298,2,171,1
Afghanistan,63.97099686,29.43008041,2,172,1
Afghanistan,63.56758118,29.49799919,2,173,1
Afghanistan,62.47655869,29.40834999,2,174,1
Afghanistan,62.37343597,29.42539024,2,175,1
Afghanistan,62.00097275,29.5304184,2,176,1
Afghanistan,61.52148056,29.66567421,2,177,1
Afghanistan,61.22441483,29.74941444,2,178,1
Afghanistan,60.8433609,29.85869026,2,179,1
Afghanistan,61.10410309,30.12841797,2,180,1
Afghanistan,61.33164215,30.36372185,2,181,1
Afghanistan,61.55947113,30.59936333,2,182,1
Afghanistan,61.78417587,30.83193588,2,183,1
Afghanistan,61.81084061,30.91328239,2,184,1
Afghanistan,61.81425858,31.07255936,2,185,1
Afghanistan,61.75508118,31.28530312,2,186,1
Afghanistan,61.66015244,31.38242149,2,187,1
Afghanistan,61.34648514,31.42162895,2,188,1
Afghanistan,61.11074066,31.45112228,2,189,1
Afghanistan,60.85410309,31.48325157,2,190,1
Afghanistan,60.82070541,31.49516678,2,191,1
Afghanistan,60.79159927,31.66059685,2,192,1
Afghanistan,60.8042984,31.73447227,2,193,1
Afghanistan,60.78750229,31.87719727,2,194,1
Afghanistan,60.78993988,31.98711205,2,195,1
Afghanistan,60.82724762,32.16796875,2,196,1
Afghanistan,60.82929611,32.24941254,2,197,1
Afghanistan,60.71044922,32.60000229,2,198,1
Afghanistan,60.64453125,32.794384,2,199,1
Afghanistan,60.57656479,32.99487305,2,200,1
Afghanistan,60.56191635,33.0587883,2,201,1
Afghanistan,60.56054688,33.13784027,2,202,1
Afghanistan,60.71806717,33.32353592,2,203,1
Afghanistan,60.76689529,33.36381912,2,204,1
Afghanistan,60.85927963,33.45624924,2,205,1
Afghanistan,60.91698837,33.50522232,2,206,1
Afghanistan,60.90693283,33.53896332,2,207,1
Afghanistan,60.80644226,33.55868912,2,208,1
Afghanistan,60.65458679,33.56040192,2,209,1
Afghanistan,60.57382584,33.58832932,2,210,1
Afghanistan,60.51083755,33.63891602,2,211,1
Afghanistan,60.48593521,33.71191406,2,212,1
Afghanistan,60.52705383,33.84199142,2,213,1
Afghanistan,60.48574448,34.09477615,2,214,1
Afghanistan,60.57021332,34.2196312,2,215,1
Afghanistan,60.64267349,34.30717468,2,216,1
Afghanistan,60.8894577,34.3194313,2,217,1
Afghanistan,60.8039093,34.41801834,2,218,1
Afghanistan,60.76259995,34.47524261,2,219,1
Afghanistan,60.73613358,34.49179459,2,220,1
Afghanistan,60.72626877,34.51826477,2,221,1
Afghanistan,60.73945236,34.54472733,2,222,1
Afghanistan,60.80234528,34.55463791,2,223,1
Afghanistan,60.84531403,34.58769608,2,224,1
Afghanistan,60.91474915,34.63398361,2,225,1
Afghanistan,60.95117569,34.65385437,2,226,1
Afghanistan,60.95781326,34.71006012,2,227,1
Afghanistan,60.99082184,34.74975586,2,228,1
Afghanistan,61.04043198,34.799366,2,229,1
Afghanistan,61.08007813,34.85561752,2,230,1
Afghanistan,61.07021713,34.92173004,2,231,1
Afghanistan,61.10664368,35.00112152,2,232,1
Afghanistan,61.12314606,35.05073166,2,233,1
Afghanistan,61.14961243,35.09375,2,234,1
Afghanistan,61.12646484,35.15654373,2,235,1
