"","Date","福建水泥","冀东水泥","茂化实华","上峰水泥"
"1",2018-01-15,8.64,20.18,5.08,10.62
"2",2018-01-16,8.87,19.24,5.14,10.97
"3",2018-01-17,8.92,19.09,5.2,11.2
"4",2018-01-18,9.03,18.31,5.34,11.19
"5",2018-01-19,8.96,18.39,5.49,10.82
"6",2018-01-22,8.98,17.59,4.99,10.93
"7",2018-01-23,8.85,16.91,5.05,10.83
"8",2018-01-24,8.67,17.12,4.82,10.85
"9",2018-01-25,8.52,16.61,4.76,10.36
"10",2018-01-26,8.52,16.64,4.78,10.07
"11",2018-01-29,8.42,17.47,4.74,9.92
"12",2018-01-30,8.16,17.22,4.48,9.68
"13",2018-01-31,8.66,17.05,4.88,10.18
"14",2018-02-01,8.6,16.97,4.79,10.28
"15",2018-02-02,8.53,17.21,4.67,10.25
"16",2018-02-05,8.51,17.26,4.6,10.26
"17",2018-02-06,8.48,16.32,4.43,10.05
"18",2018-02-07,8.29,16.39,4.49,9.75
"19",2018-02-08,8.22,15.67,4.47,9.57
"20",2018-02-09,8.21,15.64,4.45,9.65
"21",2018-02-12,8.18,15.4,4.44,9.49
"22",2018-02-13,7.86,16.11,4.28,9.12
"23",2018-02-14,7.67,16.26,4.24,9.09
"24",2018-02-22,7.75,16.43,4.29,9.21
"25",2018-02-23,7.72,16.4,4.28,9.16
"26",2018-02-26,7.7,15.99,4.25,9.17
"27",2018-02-27,7.53,15.3,4.16,8.99
"28",2018-02-28,7.58,14.99,4.14,9.09
"29",2018-03-01,7.61,14.55,4.14,9.17
"30",2018-03-02,7.5,14.65,4.11,9.08
"31",2018-03-05,7.49,13.74,4.09,9.11
"32",2018-03-06,7.33,13.7,3.94,8.98
"33",2018-03-07,7.15,13.79,3.88,8.77
"34",2018-03-08,7.28,13.74,4.15,8.7
"35",2018-03-09,7.35,13.98,4.61,8.91
"36",2018-03-12,7.39,13.68,5.12,8.75
"37",2018-03-13,7.73,14.16,4.65,8.75
"38",2018-03-14,7.73,13.82,4.23,8.79
"39",2018-03-15,7.78,13.74,4.14,8.92
"40",2018-03-16,7.73,13.81,4.04,8.94
"41",2018-03-19,7.81,13.38,4.15,8.91
"42",2018-03-20,7.83,12.99,4.08,8.86
"43",2018-03-21,7.65,13.16,4.01,8.57
"44",2018-03-22,7.67,13.39,4.02,8.59
"45",2018-03-23,7.77,12.99,4.09,8.6
"46",2018-03-26,7.71,12.7,4.01,8.55
"47",2018-03-27,7.65,12.43,4.01,8.59
"48",2018-03-28,7.59,12.4,3.99,8.42
"49",2018-03-29,7.66,12.46,3.98,8.55
"50",2018-03-30,7.67,12.79,3.95,8.56
"51",2018-04-02,7.74,12.98,3.95,8.57
"52",2018-04-03,7.63,12.9,3.88,8.5
"53",2018-04-04,7.48,12.96,3.76,8.37
"54",2018-04-09,7.43,13.53,3.77,8.42
"55",2018-04-10,7.36,13.28,3.75,8.44
"56",2018-04-11,7.31,13.21,3.74,8.41
"57",2018-04-12,7.48,12.44,3.81,8.55
"58",2018-04-13,7.58,12.08,3.81,8.63
"59",2018-04-16,7.6,12.24,3.93,8.46
"60",2018-04-17,7.53,12.04,3.9,8.4
"61",2018-04-18,7.69,11.78,3.94,8.54
"62",2018-04-19,7.74,11.52,3.9,8.58
"63",2018-05-02,7.76,12.19,4.06,8.78
"64",2018-05-03,7.97,12.38,4.04,8.94
"65",2018-05-04,7.93,12.31,4.11,8.89
"66",2018-05-07,8.09,12.56,4.13,8.99
"67",2018-05-08,8.2,12.28,4.18,9.13
"68",2018-05-09,8.16,12.58,4.17,9.14
"69",2018-05-10,8.05,12.68,4,8.99
"70",2018-05-11,7.95,13.09,3.87,8.96
"71",2018-05-14,8.16,12.84,4.02,9.16
"72",2018-05-15,8.24,12.78,3.95,9.15
"73",2018-05-16,8.32,13.51,3.9,8.96
"74",2018-05-17,7.81,13.21,3.89,8.91
"75",2018-05-18,8.09,13.45,4.19,9.17
